store,labels,addr,lng,lat,lnum,label2,label3
安踏(西四道街),购物服务;体育用品店;体育用品店,中央大街158号(近中医街),126.61848,45.775259000000005,1,体育用品店,体育用品店
GUESS(金安国际购物广场店),购物服务;服装鞋帽皮具店;品牌服装店,中央大街69号金安国际购物广场1层105号,126.62035800000001,45.772139,1,服装鞋帽皮具店,品牌服装店
百思图(百盛购物中心),购物服务;服装鞋帽皮具店;品牌鞋店,中央大街222号百盛购物中心B1层,126.61660800000001,45.778783000000004,1,服装鞋帽皮具店,品牌鞋店
达芙妮(百盛购物中心),购物服务;服装鞋帽皮具店;品牌鞋店,中央大街222号百盛购物中心B1层,126.616202,45.778760999999996,1,服装鞋帽皮具店,品牌鞋店
D:FUSE(百盛购物中心),购物服务;服装鞋帽皮具店;品牌鞋店,中央大街222号百盛购物中心B1层,126.616161,45.778828000000004,1,服装鞋帽皮具店,品牌鞋店
天美意(百盛购物中心),购物服务;服装鞋帽皮具店;品牌鞋店,中央大街222号百盛购物中心B1层,126.616547,45.778890000000004,1,服装鞋帽皮具店,品牌鞋店
国利百货,购物服务;商场;商场,透笼街2号秀龙商厦地下38-39室,126.63262900000001,45.770659,1,商场,商场
YINER(中央商城店),购物服务;服装鞋帽皮具店;品牌服装店,中央大街100号中央商城3层,126.61906,45.77179,1,服装鞋帽皮具店,品牌服装店
FILA(百盛购物中心),购物服务;体育用品店;体育用品店,中央大街222号百盛购物中心F5层,126.616968,45.779134,1,体育用品店,体育用品店
LALA BOBO(金安国际购物广场),购物服务;服装鞋帽皮具店;品牌服装店,中央大街69号金安国际购物广场f2层,126.62036100000002,45.771995000000004,1,服装鞋帽皮具店,品牌服装店
